question,answer,visibility,tags
Where are you located in Kuwait?,"Aseer Time has branches across Kuwait including Bneid Al Qar (the original), Maidan Hawally, Salmiya 1 & 2, Jabriya, Jahra, Qurain, Sulaibikhat, Ardiya, Fahaheel, Khayran, Sabah Al Salem, Abu Ftaira, and Abdullah Al-Salem. Tell me your area and I'll share the nearest branch.",public,"locations, kuwait, branches"
What are your opening hours?,"Sabah Al Salem branch is open 24/7. Other branches stay open late — exact hours vary by branch. Tell me your area and I'll confirm the timing.",public,"hours, opening, timing"
Do you deliver?,"Yes — you can order from Aseer Time on Talabat, Deliveroo and Carriage. Coverage depends on your area; pick the app where we appear for your delivery address.",public,"delivery, talabat, deliveroo, carriage"
How do I order online?,"Order through Talabat, Deliveroo or Carriage — search for ""Aseer Time"" in the app. You can also message us on WhatsApp at +965 67090966 or +965 69063797.",public,"delivery, online order, whatsapp"
What is the minimum order for delivery?,"Minimum order varies by branch and delivery platform — you'll see the minimum on the cart screen of the app you're ordering from. (Per-branch minimums to be confirmed.)",public,"delivery, minimum order"
What is your most popular drink?,"Our all-time favourites: Heart Attack (mango + strawberry + vanilla ice cream), Valentino, Ibn Battotah, VIP (avocado + nuts + honey + pomegranate), and Stopwatch (fruit salad + ice cream + strawberry slush + Kinder bar).",public,"menu, popular, signature"
Do you have healthy or fitness options?,"Yes — we have fresh juices like Vitamin (beet + red apple + pomegranate + orange) and Refresh (lemon + mint + kiwi), plus protein shakes and diet options.",public,"menu, healthy, fitness, protein"
Do you serve coffee?,"Yes — Cappuccino, Espresso (single + double), Turkish Coffee, Karak Tea, plus signature frappes: Cream Caramel, Nutella, Lotus, Oreo, Pistachio, White Mocha and Farouhah.",public,"menu, coffee, frappe"
Do you have Dubai-chocolate items?,"Yes — we have Dubai Chocolate, Dubai Ice Cream and Dubai Crepe, all with the viral pistachio-kunafa filling.",public,"menu, dubai chocolate, pistachio, kunafa"
Do you do gifting or party sizes?,"Yes — 1 L and 1.5 L bottles of your favourite mix, Twins Milkshake and Twins Fresh duos, Hamba sharing platter, Mini Prestige 12-piece box, Zwara Box and Happiness Macintosh for celebrations.",public,"gifting, party, catering, sharing"
Do you have a kids menu?,"Kids tend to love Cerelac, Banana Milk, Lulu (with cotton candy), Fashkal Bobo and Farrouha (with Nesquik cereal).",public,"menu, kids, family"
Do you cater to allergies?,"Many of our drinks contain milk, dairy ice cream and nuts (e.g. Nuts Avocado, VIP, Snickers, Ferrero items). Please tell us about your allergy at order time and we'll guide you to a safer option. Equipment is shared across menu items so we can't guarantee a completely allergen-free environment.",public,"allergies, allergens, safety"
Are your products halal?,"Yes — all Aseer Time products in Kuwait are halal. (Certification body + number to be confirmed by client.)",public,"halal, ingredients"
How can I contact you?,"Call +965 67090966 or +965 69063797, email franchise@aseertime.com, or visit our HQ at Kuwait City — Al Mirqab — Ali Tower, 18th floor (office hours Saturday–Thursday 8 AM – 5 PM, Friday closed).",public,"contact, phone, email, address"
Where was Aseer Time founded?,"Aseer Time was founded in 2011 in Bneid Al Qar, Kuwait, when three partners turned a shared passion for food into a business. Today we have 288+ branches across 15 countries serving 10,000+ customers a day.",public,"about, history, founded"
Are you on Instagram and TikTok?,"Yes — find us on Instagram @39ertime, TikTok @39ertimekw, and our Facebook page ""Aseer Time Kuwait"".",public,"social, instagram, tiktok, facebook"
Do you accept card payments?,"Most branches accept KNET, Visa, Mastercard and cash. (Per-branch payment methods to be confirmed.)",public,"payment, card, knet, cash"
Do you offer corporate gifting?,"Yes — Zwara Box, Happiness Macintosh and custom corporate gift tiers. Branded packaging available on request. Volume pricing for orders of 25+ units. Contact us on WhatsApp to discuss.",public,"gifting, corporate, b2b"
Do you offer birthday or event packages?,"Yes — we have birthday and celebration packages combining signature mixes, sweets and a feature centrepiece. Includes setup at the branch or delivery to your location within Kuwait. Contact us on WhatsApp.",public,"events, birthday, catering"
