name,shortDescription,description,durationMinutes,basePriceMinor,currency,priceUnit,isAvailable,categorySlug
Dine-in,Eat at any Aseer Time branch in Kuwait,"Walk in to any of our Kuwait branches — Bneid Al Qar, Maidan Hawally, Salmiya 1 & 2, Jabriya, Jahra, Qurain, Sulaibikhat, Ardiya, Fahaheel, Khayran, Sabah Al Salem (24/7), Abu Ftaira, Abdullah Al-Salem. Free seating.",,0,KWD,flat,true,dining
Takeaway,Order ahead & pick up at the branch,"Place your order over WhatsApp or call the branch and we'll have it ready for pickup. No service fee.",,0,KWD,flat,true,dining
Delivery via Talabat,Order on the Talabat app,"Aseer Time is live on Talabat across all major Kuwait areas. Delivery fee + minimum order set by Talabat per branch.",,0,KWD,flat,true,delivery
Delivery via Deliveroo,Order on the Deliveroo app,"Aseer Time is live on Deliveroo Kuwait (Salmiya, Bneid Al Qar and more). Delivery fee + minimum order set by Deliveroo per branch.",,0,KWD,flat,true,delivery
Delivery via Carriage,Order on the Carriage app,"Aseer Time is live on Carriage Kuwait. Delivery fee + minimum order set by Carriage per branch.",,0,KWD,flat,true,delivery
Catering & Party Orders,Bulk orders for events,"Catering for offices, weddings and gatherings. Includes Hamba sharing platter, Mini Prestige 12-piece, 1L & 1.5L bottles, Zwara Box and Happiness Macintosh. 24-hour notice required.",,25000,KWD,per_session,true,catering
Corporate Gifting,Branded gift boxes for clients & employees,"Zwara Box, Happiness Macintosh and custom corporate gift tiers. Branded packaging available on request. Volume pricing for orders of 25+ units.",,12000,KWD,per_unit,true,catering
Birthday & Event Package,Birthday-ready dessert + drinks bundle,"Birthday and celebration packages — combine signature mixes, sweets and a feature centrepiece. Includes setup at the branch or delivery to your location (within Kuwait).",,30000,KWD,per_session,true,catering
WhatsApp Order Concierge,Direct ordering on WhatsApp,"Order directly with us on WhatsApp +965 67090966 / +965 69063797 for catering, gifting and out-of-coverage delivery.",,0,KWD,flat,true,delivery
Franchise Partnership,Open your own Aseer Time branch,"Franchise the Aseer Time, Papa Kunafa or Farooj Abu Al Abed brand. Investment from USD 500,000 (priced separately on application). 6–12 month timeline from application to grand opening. Includes site selection, training, marketing and ongoing operational support. Multi-unit and multi-brand development encouraged. Contact franchise@aseertime.com.",,,KWD,flat,true,franchise
